"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AFAYTV3V","journalArticle","2021","Piecuch, T.; Szczygieł, E.","The issue of intrapreneurship development in corporations","Journal of International Studies","","20718330 (ISSN)","10.14254/2071-8330.2021/14-3/15","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85116702491&doi=10.14254%2f2071-8330.2021%2f14-3%2f15&partnerID=40&md5=711c8186a07bec4bed95a036b4d1f5f7","Due to the role corporations play in modern world, they are becoming an interesting area for theoretical considerations and a research object. The subject of the paper is intrapreneurship, which is a form of corporate entrepreneurship that refers to the individual behaviour of corporate employees. The main goal of the research was to analyse and evaluate the entrepreneurial potential of corporate employees and the working climate that affect significantly the development of intrapreneurship. The article is based on the author’s research, which was conducted by means of a survey among 320 employees and 60 executives at different levels taken on in 41 different types of corporations conducting business activity in Poland. By entering the research, it was assumed that the corporation was entrepreneurial if it employs entrepreneurial employees, and its working climate is conducive to undertaking entrepreneurial initiatives. The research showed the importance of the work climate for the development of intrapreneurship, which can be considered a dimension supporting the development of corporate entrepreneurship. It was also featured that not those employees who had intrapreneur potential were more involved in risky ventures, but those who felt that the company supported their actions. © 2021, Centre of Sociological Research. All rights reserved.","2021","2024-04-17 13:59:24","2024-05-07 12:32:24","","235-249","","3","14","","J. Intl. Stud.","","","","","","","","English","","","Scopus","","","95","Publisher: Centre of Sociological Research","","","","Intrapreneurship; Corporate entrepreneurship; Individual behaviours; Include-Screening-JournalArticles","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUB4FZF7","journalArticle","2017","Bhoyar, P.K.; Divekar, R.; Nagendra, A.","Role of intrapreneurs in organizational success and failures","International Journal of Applied Business and Economic Research","","09727302 (ISSN)","","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85050649161&partnerID=40&md5=37e615208405f03892d7332cdecaa7f6","Intrapreneurship means entrepreneurship within the borders of an existing company. The focus of this paper is to study the qualities of becoming a successful intrapreneur in India and the factors which encourage employees to become intrapreneurs and capitalize on new business ideas. The survey was conducted for 100 intrapreneurs in the growing organizations in Pune. These intrapreneurs were interviewed based on their contributions to the growth of the organization as suggested by the CEOs of the same company. The ordinal data was then transformed and used for analysis. For this, log transformation (monotonic function) was used. Multivariate Linear Regression Analysis (MVLRA) was the statistical tool used. The researchers found that majority of the entrepreneurs are willing to support employees who want to capitalize on a new business opportunity within their company and such employees are highly motivated in doing the challenging tasks in the companies. Start-ups, which are dedicated to excellence, innovation, team spirit and hunger for success, have qualities that create a unique and exciting culture that helps create more intrapreneurs, who in turn make start-ups and some of the most amazing companies in the world. An intrapreneur may not be open to sharing their ideas in environments that do not recognize those responsible for the ideas. The study highlighted that the hard core intrapreneurs showcase most important skills such as persuasion, creativity, and balancing. Â© The Author(s) 2018.","2017","2024-04-17 13:59:29","2024-05-07 12:32:08","","471-480","","1","15","","Int. J. Appl. Bus. Econ. Res.","","","","","","","","English","","","Scopus","","","90","Publisher: Serials Publications","","","","Intrapreneurship; Entrepreneurship; SMEs; Start-up Companies Culture; Include-Screening-JournalArticles","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BYWFAUZX","journalArticle","2018","Santos-Ortega, A.; Muñoz-Rodríguez, D.","What is this thing called intrapreneur? Work management, cognitive capitalism and entrepreneur conception","Cuadernos de Relaciones Laborales","","11318635 (ISSN)","10.5209/CRLA.60698","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85056313291&doi=10.5209%2fCRLA.60698&partnerID=40&md5=2bb057c2b31cb3e44dd1ea9a497f3c6f","This article studies the figure of the intrapreneur in the current framework of the rise of entrepreneurial discourses at work. This figure identifies the salaried worker with entrepreneurial behaviours within his or her company and can even create an ex novo one if the intra-enterprise programs of their company allow it. In the current discourses on business innovation, the intraentrepreneur emerges as a new archetype of the salaried worker, characterized by his or her involvement and the ability to innovate, and presents himself or herself as the ideal type in which any employee should project himself or herself. The intra-entrepreneur is an activation device for employees. The objectives of this article are to explore how the intrapreneur is built on the basis of business literature. To cover this objective, press releases, articles in monthly management magazines and academic journals in the area of economics and business will be analysed. A second objective seeks to place the figure of the intraentrepreneur in the context of changes in the organization of work during the post-Fordism. To this end, a critical analysis will be made of some of the main authors who have approached the issue from the point of view of economic sociology. © 2018 Universidad Complutense de Madrid.","2018","2024-04-17 13:59:36","2024-05-07 12:31:54","","285-303","","2","36","","Cuad. Relac. Labor.","Qué es esa cosa llamada intraemprendedor? Gestión del trabajo en el capitalismo cognitivo y concepciones emprendedoras","","","","","","","Spanish","","","Scopus","","","75","Publisher: Universidad Compultense Madrid","","","https://media.proquest.com/media/hms/PFT/1/9ctc9?_a=ChgyMDI0MDQxNzIwMTQxNzgwMDo5MzA2NDISBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0OCoFNTU0NjAyCjIyMzg2NTM2NTc6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAxOC8wNy8wMXIKMjAxOC8xMi8zMXoAggEqUC0xMDAwMDAxLTE4NTI5MC1DVVNUT01FUi0xMDAwMDAwOC00ODkzMDE1kgEGT25saW5lygFvTW96aWxsYS81LjAgKFdpbmRvd3MgTlQgMTAuMDsgV2luNjQ7IHg2NCkgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMy4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDQxNzIwMTQxNzgwMDozOTczNzk%3D&_s=qwbbYAXr6WU1IlSyBdTOVpGlXv4%3D","Entrepreneur; Intrapreneur; Entrepreneurship; Activation; Cognitive capitalism; Postfordism; Work; Entrepreneurs; Business; Intrapreneurs; Innovations; Literature reviews; Business And Economics--Labor And Industrial Relations; activación; Capitalism; capitalismo cognitivo; Discourses; Economic sociology; emprendedor; Fordism; Intraemprendedor; Journals; posfordismo; Post-Fordism; trabajo; Work organization; Exclude-Screening-Language; Exclude-Screening-ProQuest","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5BWZ7F8","journalArticle","2019","Galván Vela, E.; Sánchez Limón, M.L.","Organizational factors related to the intrapreneurial behavior","Innovar","","01215051 (ISSN)","10.15446/innovar.v29n71.76395","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85059646144&doi=10.15446%2finnovar.v29n71.76395&partnerID=40&md5=6eadca7312c790bffc692384dfc6ead8","Current commercial dynamics in companies from emerging economies requires searching for new methods to increase their competitiveness. This situation demands the study of alternative forms of corporate development such as intrapreneurship and the factors that may promote this behavior within an organization. Therefore, the purpose of this research is to analyze the relationship between specific elements of the internal environment of a company with its intrapreneurship level. For this, we administered a questionnaire to 144 mid-level employees in the passenger transportation sector in Northeast Mexico, whose results were treated with multiple variable correlation and multiple linear regression analysis. The results of this study suggest a positive and significant impact of the administrative support and time availability on intrapreneurship, as well as a moderate effect of the rewards given to employees. These findings contribute to the creation of theory within a scarcely studied context and sector, and invite to reflect on the importance of considering these practices as effective management methods for companies. © 2019, Universidad Nacional de Colombia. All rights reserved.","2019","2024-04-17 13:59:40","2024-05-07 12:31:39","","55-68","","71","29","","Innovar","Les facteurs organisationnels liés au comportement intrapreneur","","","","","","","Spanish","","","Scopus","","","85","Publisher: Universidad Nacional de Colombia","","","https://media.proquest.com/media/hms/PFT/1/ZOoT8?_a=ChgyMDI0MDQxODEzNDcxMzUwMDoxODYzNTQSBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0OCoHMjAzNTcyNjIKMjE4NDUxNDM3NjoNRG9jdW1lbnRJbWFnZUIBMFIGT25saW5lWgJGVGIDUEZUagoyMDE5LzAxLzAxcgoyMDE5LzEyLzMxegCCASpQLTEwMDAwMDEtMTg1MjkwLUNVU1RPTUVSLTEwMDAwMDA4LTQ4OTMwMTWSAQZPbmxpbmXKAW9Nb3ppbGxhLzUuMCAoV2luZG93cyBOVCAxMC4wOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTIzLjAuMC4wIFNhZmFyaS81MzcuMzbSARJTY2hvbGFybHkgSm91cm5hbHOaAgdQcmVQYWlkqgIrT1M6RU1TLU1lZGlhTGlua3NTZXJ2aWNlLWdldE1lZGlhVXJsRm9ySXRlbcoCD0FydGljbGV8RmVhdHVyZdICAVnyAgD6AgFZggMDV2ViigMcQ0lEOjIwMjQwNDE4MTIxOTAzNDIwOjg5OTkxOA%3D%3D&_s=NLygXc%2FSAsAavPRJPxN1CMh1mL0%3D","Intrapreneurship; intrapreneurship; Autonomy; Management support; Rewards; Supporting organizational structure; Time availability; Organizational behavior; Intrapreneurs; Mexico; Social Sciences: Comprehensive Works; Organizational structure; intraemprendimiento; autonomia; autonomía; disponibilidad de tiempo; disponibilidade de tempo; estructura organizacional de apoyo; estrutura organizacional de apoio; intraempreendimento; management support; recompensas; rewards; soporte de la administración; suporte da administração; supporting organizational structure; time availability; Exclude-Screening-Language; Exclude-Screening-ProQuest","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JBW235N","journalArticle","2021","Chandler, N.; Krajcsák, Z.","Intrapreneurial fit and misfit: Enterprising behavior, preferred organizational and open innovation culture","Journal of Open Innovation: Technology, Market, and Complexity","","21998531 (ISSN)","10.3390/joitmc7010061","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85101141381&doi=10.3390%2fjoitmc7010061&partnerID=40&md5=5c6486bed235d3a147455b6f5210a66d","In challenging times, the need for innovation is heightened and stems from employees who exhibit intrapreneurial characteristics. Not every corporate culture is a suitable environment for intrapreneurial behavior. This study examines the relationship between potential entrepreneurial behavior and preferred culture type. Through a principal component analysis of a sample of 1056 university students, four principal components of enterprising behavior (and roles) are found: Planning on results (project manager); Bearing the burden (pressure bearer); Innovating for others (innovating showstopper); and Learning from mistakes (experimental learner). Using the Organizational Culture Assessment Instrument, a linear regression analysis was conducted of culture types against compo-nents. A combination of strong inverse and direct relationships are found between these components and culture types (clan, market, adhocracy, and hierarchy). The findings help practitioners under-stand how existing culture will inhibit or encourage enterprising behaviors, with potential benefits in recruitment and selection, reductions in staff turnover and increases in innovation potential. The findings also indicate a need for reconsideration of the employer brand when attracting intrapreneurs. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","2021","2024-04-17 13:59:44","2024-05-07 12:31:20","","1-16","","1","7","","J. Open Innov.: Technol. Mark. Complex.","","","","","","","","English","","","Scopus","","","80","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","","https://media.proquest.com/media/hms/PFT/1/JF7OL?_a=ChgyMDI0MDQxNzIwMTQxNzgwMDo5MzA2NDISBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0OCoHMjA0NDMzMzIKMjU5NjA0MzI2MjoNRG9jdW1lbnRJbWFnZUIBMFIGT25saW5lWgJGVGIDUEZUagoyMDIxLzAxLzAxcgoyMDIxLzEyLzMxegCCASpQLTEwMDAwMDEtMTg1MjkwLUNVU1RPTUVSLTEwMDAwMDA4LTQ4OTMwMTWSAQZPbmxpbmXKAW9Nb3ppbGxhLzUuMCAoV2luZG93cyBOVCAxMC4wOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTIzLjAuMC4wIFNhZmFyaS81MzcuMzbSARJTY2hvbGFybHkgSm91cm5hbHOaAgdQcmVQYWlkqgIrT1M6RU1TLU1lZGlhTGlua3NTZXJ2aWNlLWdldE1lZGlhVXJsRm9ySXRlbcoCD0FydGljbGV8RmVhdHVyZdICAVnyAgD6AgFZggMDV2ViigMcQ0lEOjIwMjQwNDE3MjAxNDE3ODAwOjM5NzM3OQ%3D%3D&_s=EP7UFmxsD73AseKdRVxE2153sCQ%3D","Intrapreneur; Entrepreneurship; intrapreneur; Characteristics; Fit; Organizational culture; Corporate culture; Entrepreneurs; Intrapreneurs; Research; Behavior; Business And Economics; Innovations; Product development; 54172:Research and Development in the Social Sciences and Humanities; characteristics; fit; organizational culture; Student; Enterprise; Regression analysis; Colleges & universities; New employees; Organizational aspects; Principal component analysis; Principal components analysis; Include-Screening-JournalArticles","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDESK4RV","journalArticle","2017","Chan, K.-Y.; Ho, M.-H.R.; Kennedy, J.C.; Uy, M.A.; Kang, B.N.Y.; Chernyshenko, O.S.; Yu, K.T.","Who wants to be an intrapreneur? Relations between employees' entrepreneurial, professional, and leadership career motivations and intrapreneurial motivation in organizations","Frontiers in Psychology","","16641078 (ISSN)","10.3389/fpsyg.2017.02041","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85034655055&doi=10.3389%2ffpsyg.2017.02041&partnerID=40&md5=a42621af10ef35ea6b7782bee9e98cf5","This paper reports an empirical study conducted to examine the relationship between employees' Entrepreneurial, Professional, and Leadership (EPL) career motivations and their intrapreneurial motivation. Using data collected from 425 working adults in the research/innovation and healthcare settings, we develop a self-report measure of employee intrapreneurial motivation. We also adapt an existing self-report measure of E, P, and L career motivations (previously developed and used with university students) for use with working adult organizational employees. Confirmatory factor analysis indicate that E, P, and L motivations and intrapreneurial motivation can be measured independently and reliably, while regression analyses show that the employees' E, P, and L motivations all contribute to explaining variance in their intrapreneurial motivation. Individuals with high E, P, and L motivational profiles are also found to have the highest intrapreneurial motivation scores, while those low on E, P, and L motivations have the least intrapreneurial motivation. Our findings suggest that the potential for intrapreneurship is not unique to only entrepreneurial employees. Instead, one can find intrapreneurs among employees with strong leadership and professional motivations as well. We discuss the findings in the context of generating more research to address the challenges of talent management in the 21st century knowledge economies where there is greater career mobility and boundarylessness in the workforce. © 2017 Chan, Ho, Kennedy, Uy, Kang, Chernyshenko and Yu.","2017","2024-03-18 17:50:33","2024-05-07 12:31:03","","","","NOV","8","","Front. Psychol.","","","","","","","","English","","","Scopus","","","90","Publisher: Frontiers Media S.A.","","","","Innovation; Intrapreneurship; Entrepreneurship; entrepreneurship; innovation; intrapreneurship; leadership; Human capital; Leadership; Motivation; Professionalism; Scale development; motivation; human capital; MANAGEMENT; PERFORMANCE; DYNAMIC CAPABILITIES; MICROFOUNDATIONS; MODEL; professionalism; scale development; Include-Screening-JournalArticles; Include-Screening-WebofSci","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5HSKS4N","journalArticle","2023","Roux, M.","Legitimizing an intrapreneurship project: The networking strategy of the intrapreneur as innovation champion","Revue de l'Entrepreneuriat","","17662524 (ISSN)","","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85164598485&partnerID=40&md5=f58935f6d59442d1dc08b2c265dd89b4","The networks that can be specifically mobilized in the context of corporate entrepreneurship (CE) constitute an easily exploitable resource for building the legitimacy of the intrapreneurial project. This article examines how the networks that can be activated (organizational, individual, and CE program) and brokers that can be mobilized (sponsors, cultivators, CE program) within the framework of CE participate in the various legitimization mechanisms (associative, organizational, and identity). This study focuses on the case of four intrapreneurship projects conducted within a mutual insurance company. The results enrich Fisher et al.'s (2017) theoretical proposals on the legitimacy of a CE project with the specificity of the networks that can be activated in the context of CE and can also be mobilized by managers of CE programs to refine their coaching and select the appropriate brokers within the organizational network. © 2023 Cairn. All rights reserved.","2023","2024-04-17 13:59:48","2024-05-07 12:30:46","","71-112","","1","3","","Rev. l'Entrepreneuriat.","Légitimation d'un projet intrapreneurial: la stratégie de réseautage de l'intrapreneurchampion de l'innovation","","","","","","","French","","","Scopus","","","85","Publisher: Cairn France","","","","innovation; intrapreneurship; legitimacy; networks; Exclude-Screening-Language","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTHKLPXM","journalArticle","2021","Begeç, S.; Arun, K.","The bottleneck of intrapreneurship: are social positions and held expectations constraints in organizations’ entrepreneur process? A conceptual view","Journal of Entrepreneurship in Emerging Economies","","20534604 (ISSN)","10.1108/JEEE-08-2019-0120","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85085393257&doi=10.1108%2fJEEE-08-2019-0120&partnerID=40&md5=d1b7e72d81235a3f9be7ba82020e035f","Purpose: This study aims to develop conceptual arguments about intrapreneurship relative to role theory. Design/methodology/approach: The challenge to the intrapreneurship concept is that no single or combination of personality traits, individual characteristics or attitudes can fulfill the causes of the phenomenon, as these factors are context-bound. One explanation for individual- and macro-level contrasting outcomes is the diverging effect of expectations. The structural and interactionist perspective of sociology is used to understand the intrapreneurship concept because intrapreneurs live within a society and shape their course per the expectations of others. Findings: Intrapreneurs have been trying to infer about what is seen as crucial individually related to interactions within the existing context; more importantly, acting in an intrapreneurship role can be defined and learned by expectations. Practical implications: With the convenient expectations from other members, families or environments, organization members will value the innovation and self-direction of intrapreneurship more highly that such a taste for an acting role may be an important factor in the decision to become an intrapreneur. Originality/value: To the best of the authors’ knowledge, the paper emphasized for the first time that the consequences of exposure to social expectations for the development of intrapreneur roles, particularly the broad portfolios of skills and motivation, are relevant to intrapreneurship. Previous approaches depend on individuals, organizations or the environment to have different approaches to likely employees to be intrapreneurs. The paper first argues that context is important for understanding how and why context can be linked to individual intrapreneurs and how intrapreneurship can be defined as roles rather than a task or unique potential entrepreneurs. © 2020, Emerald Publishing Limited.","2021","2024-04-17 13:59:56","2024-05-07 12:30:35","","131-151","","1","13","","J. Enterpr. Emerg. Econ.","","","","","","","","English","","","Scopus","","","70","Publisher: Emerald Group Holdings Ltd.","","","","Intrapreneurship; Corporate entrepreneurship; Corporate venturing; Context; Intrapreneuring; Role theory; Structural sociology; Include-Screening-JournalArticles","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRBQ2DBN","journalArticle","2018","Mennini, E.; Pandolfi, C.; Giorgi, G.; Arcangeli, G.; Mucci, N.","The manifestation of well-being in engagement and in intrapreneur’s skills: An empirical investigation in a sample of university students","Quality - Access to Success","","15822559 (ISSN)","","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85041071060&partnerID=40&md5=05e72e08e60fefdf87e117be3d00ea8e","The literature’s review of this study refers to two peculiar issues of people’s well-being and to individual skills needed for its manifestation. Well-being is a multifaceted and extremely complex construct that is investigated in different fields. Nevertheless, it is a spontaneous manifestation, inherent to human beings, which is an expression of their true essence. The main purpose of this study is to check the emerging relationships between engagement, which is typical of the intrapreneur, and individual satisfaction/well-being. The research has explored the decisive factors in the manifestation of individual well-being among a sample of university students. This study can also contribute by exemplifying a University’s potential, in that it provides a global evaluation of these constructs with a specific focus on students. The student’s point of view, in fact, represents a strategic asset. It’s also crucial to underline the importance played by the awareness of students and of the University’s managers in regard to the analysed factors with the goal to enhance the role of the person. The aim of the research was to investigate the correlations and the relations between intrapreneurial self-capital, engagement, general well-being and satisfaction with life by using a sample of university students. The participants consist of 101 students and five tests have been administered. The results resulted in 8 upper-middle correlations. More specifically, it was found that well-being and satisfaction with life are strictly linked to engagement and also, as expected, that intrapreneur-self-capital higher-order construct play a key role in the manifestation of well-being. © 2018, SRAC - Romanian Society for Quality. All rights reserved.","2018","2024-04-17 14:00:00","2024-05-07 12:54:20","","113-121","","162","19","","Qual. Access Success","","","","","","","","English","","","Scopus","","","75","Publisher: SRAC - Romanian Society for Quality","","","","University; Students; Engagement; Occupational health; Well-being; Include-Screening-JournalArticles","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGK2IP28","journalArticle","2006","Brunåker, S.; Kurvinen, J.","Intrapreneurship, local initiatives in organizational change processes","Leadership and Organization Development Journal","","01437739 (ISSN)","10.1108/01437730610646624","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-33645022183&doi=10.1108%2f01437730610646624&partnerID=40&md5=8a5d79001042f22885ffb6598c74afe8","Purpose - This paper has its focus on local initiatives in developing the work organization. Local initiatives describe how shop floor workers and middle managers initiate organizational change by developing ideas emerging in the daily operations. The purpose of this article is to elaborate on how and why such local initiatives emerge and develop. Design/methodology/approach - The paper combines theories about entrepreneurship and organizational change as a framework to understand local initiatives. Local initiatives contribute to the understanding of organizational change processes by emphasizing not only the voice of the managerial discourse but also the voice of local actors. The empirical findings are based on interviews in a paper pulp plant. Findings - Local initiatives are a way for shop floor workers and middle managers to translate work procedures into something that makes sense in their own context of daily operations. The intrapreneur acts not as a change agent for someone else's intentions but as a self appointed actor who initiates and drives the process of creating unequivocal interpretations of equivocal events. Research limitations/implications - The findings are based on a single case study. Practical implications - The paper stresses the importance for managers to find ways to deal with local initiatives. Generating and collecting ideas is the easy part, the challenge is to do something with the ideas received. Originality/value - A model is suggested that describes four different approaches to organizational change. © Emerald Group Publishing Limited.","2006","2024-04-17 14:00:01","2024-05-07 12:30:02","","118-132","","2","27","","Leadersh. Organ. Dev. J.","","","","","","","","English","","","Scopus","","","85","Publisher: Emerald Group Publishing Ltd.","","; ","https://media.proquest.com/media/hms/OBJ/W2KIT?_a=ChgyMDI0MDQxNzIwMjYwODQ2ODo0MTAxMTgSBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0OCoFMzcwOTcyCTIyNjkxNjkwNToNRG9jdW1lbnRJbWFnZUIBMFIGT25saW5lWgJGVGIDUEZUagoyMDA2LzAyLzE1cgoyMDA2LzAzLzMxegCCASpQLTEwMDAwMDEtMTg1MjkwLUNVU1RPTUVSLTEwMDAwMDA4LTQ4OTMwMTWSAQZPbmxpbmXKAW9Nb3ppbGxhLzUuMCAoV2luZG93cyBOVCAxMC4wOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTIzLjAuMC4wIFNhZmFyaS81MzcuMzbSARJTY2hvbGFybHkgSm91cm5hbHOaAgdQcmVQYWlkqgIrT1M6RU1TLU1lZGlhTGlua3NTZXJ2aWNlLWdldE1lZGlhVXJsRm9ySXRlbcoCB0ZlYXR1cmXSAgFZ8gIA%2BgIBToIDA1dlYooDHENJRDoyMDI0MDQxNzIwMTQxNzgwMDozOTczNzk%3D&_s=V1Le1uIv%2BF%2FvsWmxxR3lothnfuE%3D; https://media.proquest.com/media/hms/OBJ/4CDzS?_a=ChgyMDI0MDQxNzIwMjYwODQ2ODo0MTAxMTgSBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0OCoFMzcwOTcyCTIyNjkyNjk0NDoNRG9jdW1lbnRJbWFnZUIBMFIGT25saW5lWgJGVGIDUEZUagoyMDA2LzAxLzAxcgoyMDA2LzAzLzMxegCCASpQLTEwMDAwMDEtMTg1MjkwLUNVU1RPTUVSLTEwMDAwMDA4LTQ4OTMwMTWSAQZPbmxpbmXKAW9Nb3ppbGxhLzUuMCAoV2luZG93cyBOVCAxMC4wOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTIzLjAuMC4wIFNhZmFyaS81MzcuMzbSARJTY2hvbGFybHkgSm91cm5hbHOaAgdQcmVQYWlkqgIrT1M6RU1TLU1lZGlhTGlua3NTZXJ2aWNlLWdldE1lZGlhVXJsRm9ySXRlbcoCB0ZlYXR1cmXSAgFZ8gIA%2BgIBToIDA1dlYooDHENJRDoyMDI0MDQxNzIwMTQxNzgwMDozOTczNzk%3D&_s=%2F2faHXLkoz2vuMdAvaaTlppr91U%3D","Intrapreneurship; Entrepreneurship; Case study; Organizational behavior; Entrepreneurialism; Ideas generation; Middle managers; Organizational change; Entrepreneurs; Intrapreneurs; Employees; Case studies; Qualitative research; Business And Economics--Management; Strategic management; Middle management; 9130:Experiment/theoretical treatment; Studies; Initiatives; 2320:Organizational structure; Interviews; Include-Screening-JournalArticles","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
